Time	Date	Image Name	Interval [ms]	
16:01:17	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00000	0	
16:01:20	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00001	13265	
16:01:23	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00002	3047	
16:01:26	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00003	2938	
16:01:29	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00004	3015	
16:01:32	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00005	3032	
16:01:35	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00006	2937	
16:01:38	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00007	2969	
16:01:41	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00008	3109	
16:01:44	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00009	2922	
16:01:47	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00010	3031	
16:01:50	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00011	2969	
16:01:53	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00012	2984	
16:01:56	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00013	3063	
16:01:59	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00014	2984	
16:02:02	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00015	3000	
16:02:05	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00016	2969	
16:02:08	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00017	3016	
16:02:11	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00018	2968	
16:02:14	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00019	3063	
