element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref
Co,2,250.63727,0.00010,230,1.0e-02,E,69356.240,109242.450,,T6999,L9429c118
Fe,2,250.643094,0.000018,19000bl(Fe II)*,3.8e-02,D+,20516.9534,60402.333,,T6892c83,L18349c148
Fe,2,250.643094,0.000018,19000bl(Fe II)*,1.1e-01,D+,50157.475,90042.804,,T6892c83,L18349c148
Co,2,250.64643,0.00003,78000,1.32e+00,B+,9812.860,49697.683,,T6854,L9429c118
Fe,1,250.65722,0.00005,120,2.04e-01,C+,20874.482,60757.596,,T5720,L11631
Ag,2,250.659265,0.000019,50000,2.13e-01,B,43742.7348,83625.5147,,T6475c86,L11881c113
Ag,2,250.66289,0.00003,5300,4.6e-01,D+,86888.0990,126770.2987,,T9142,L11881c113
Fe,2,250.67207,0.00005,1600,4.6e-01,D+,64040.891,103921.637,,T6892c83,L18349c139
Fe,2,250.67649,0.00008,2500,4.4e-02,D+,44446.9051,84326.967,,T6892c83,L18349c139
Fe,2,250.679656,0.000012,50000bl(Fe II)*,1.98e+00,B+,50187.822,90067.357,,T6892c83,L18349c148
Si,1,250.690,0.010,425,5.47e-01,B,77.115,39955.053,,T5814,L3521
V,1,250.69063,0.00009,580000,5.1e-01,C+,0.000,39877.786,,T9399,L15916
Li,2,250.694,0.010,*,2.559e-02,AA,561243.15,601121.55,,T8636c73,L3501
Li,2,250.694,0.010,*,3.0283e-02,AAA,561243.15,601120.4,,T8636c73,L3501
Li,2,250.694,0.010,*,1.4753e-01,AAA,561243.15,601120.4,,T8636c73,L3501
Li,2,250.694,0.010,*,1.8126e-02,AAA,561243.77,601120.4,,T8636c73,L3501
Li,2,250.694,0.010,*,1.9476e-01,AAA,561243.77,601120.4,,T8636c73,L3501
Li,2,250.694,0.010,*,1.6359e-01,AAA,561244.30,601120.4,,T8636c73,L3501
V,4,250.6969,0.0010,10,3.6e-01,,216905.0,256781.8,,T2757,L147
Fe,2,250.6987,0.0003,1600,6.4e-02,D+,36252.931,76129.465,,T6892c83,L18349c139
Fe,2,250.70221,0.00003,9000,8.e-02,D+,26055.4120,65931.358,,T6892c83,L18349c139
Ne,3,250.7037,0.0010,360,4.0e+00,C,420244.544,460120.25,,c52,L10704
Ag,2,250.70909,0.00003,12000,9.e-01,D+,90887.8423,130762.6969,,T9142,L11881c113
Be,2,250.7429,0.0020,210*,1.81e-01,AA,98054.57,137924.31,,T7409LS,L12158
Be,2,250.7429,0.0020,210*,1.30e-02,AA,98055.10,137924.31,,T7409LS,L12158
Be,2,250.7429,0.0020,210*,1.94e-01,AA,98055.10,137924.31,,T7409LS,L12158
W,3,250.7593,0.0010,60,9.3e-02,C,22955.03,62821.85,,T7469,L10405
Fe,2,250.759408,0.000016,23000,6.5e-01,D+,38858.9696,78725.822,,T6892c83,L18349c139
Mn,2,250.7598,0.0006,300,3.2e-01,C+,30679.51,70546.34,,T7259,L562
Fe,2,250.76636,0.00002,5000,4.7e-01,D+,63948.803,103814.552,,T6892c83,L18349c139
Fe,2,250.768629,0.000017,20000,4.3e-01,D+,38660.0537,78525.442,,T6892c83,L18349c139
