element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(10^8 s^-1),Acc,Ei(cm-1),Ek(cm-1),Type,tp_ref,line_ref
Zr,3,262.0571,0.0010,10000000,3.91e+00,,19535.87,57684.12,,T6869,L9267
Cu,2,262.06656,0.00005,56000,1.3e-02,E,69867.9849,108014.8372,,T4280,L869c171
Fe,2,262.069492,0.000013,30000,3.4e-01,D+,22810.3459,60956.781,,T6892c83,L18349c139
Cs,3,262.0773,0.0005,1800h,4.34e-03,,153011.345,191156.624,,T8611,L14869
Ca,3,262.0817,0.0005,2500,3.1e+00,B,243930.44,282075.15,,T7942,L1405
Fe,2,262.08291,0.00015,500,9.e-02,D+,66612.659,104757.143,,T6892c83,L18349c139
Co,2,262.08356,0.00003,5200,1.6e+00,C+,63306.686,101451.074,,T6999,L9429c118
Cs,3,262.0940,0.0005,300p,2.08e-02,,186593.999,224736.976,,T8611,L14869
Mo,1,262.1063,0.0010,140,1.16e-01,B,11858.498,49999.575,,T5293,"L10250,L3475"
Fe,2,262.11106,0.00010,400,2.2e-02,D,67273.833,105414.186,,T6892c83,L18349c139
Zr,3,262.1239,0.0010,500000,7.67e-01,,23978.86,62117.41,,T6869,L9267
Co,2,262.14217,0.00007,120,1.4e-02,D,47345.845,85481.689,,T6999,L9429c118
W,2,262.15905,0.00010,14*,4.65e-02,B,7420.261,45553.652,,T7162,L11762
Fe,2,262.166881,0.000013,90000,5.60e-01,B+,977.0498,39109.3161,,"T7958,T6610,T7589",L18349c139
V,2,262.176573,0.000025,12000,1.7e+00,D,37205.0213,75335.877,,T9770,L18516
Co,2,262.19253,0.00003,4100,1.0e+00,C+,47039.105,85167.645,,T6999,L9429c118
Tm,1,262.1936,0.0005,230,6.2e-03,C+,0.000,38128.37,,T3042n,L2006
Fe,2,262.22506,0.00010,700,2.6e-01,D+,66612.659,104736.462,,T6892c83,L18349c139
Cs,3,262.2316,0.0003,1800h,2.25e-02,,180738.292,218861.157,,T8611,L14869
Fe,2,262.24460,0.00009,1800,2.9e-02,D+,60270.351,98391.320,,T6892c83,L18349c139
Tm,1,262.2467,0.0005,400,5.2e-02,C+,0.000,38120.71,,T3042n,"L2006,L3475"
Cs,3,262.2532,0.0005,1000h,1.64e-01,,199338.813,237458.534,,T8611,L14869
V,2,262.25500,0.00009,3600,1.2e+00,D,46879.9114,84999.351,,T9770,L18516
Fe,2,262.2611,0.0005,170d?,1.4e-02,D,65696.053,103814.552,,T6892c83,L18349c143
Co,2,262.2670,0.0003,710,6.e-02,D,31199.412,69317.077,,T6999,L9429c118
Cr,1,262.28671,0.00002,250,1.3e-01,D,8307.5753,46422.4223,,T3196,L14866
C,2,262.290,0.004,36hql,4.85e-02,B,150466.70,188581.26,,T5109LS,L1176
Mn,2,262.310,0.002,5,1.3e-02,C,27547.26,65658.65,,T7259,L562
Fe,2,262.31302,0.00005,5000,9.e-02,D+,32875.6409,70986.667,,T6892c83,L18349c139
Fe,1,262.33658,0.00002,240,8.61e-03,D,888.132,38995.736,,T5720,L11631
In,2,262.3435,0.0014,440,4.5e-02,D+,108430.337,146537.16,,T9131,L3548c127
Fe,1,262.35337,0.00002,3310,2.13e-01,B+,7728.060,45833.223,,T5720,L11631
Cs,3,262.3576,0.0005,2000,5.81e-01,,202440.470,240544.980,,T8611,L14869
V,2,262.36599,0.00006,8700,2.0e+00,D+,47056.321,85159.644,,T9770,L18516
Fe,2,262.37008,0.00004,8000,4.5e-01,D+,47626.110,85728.846,,T6892c83,L18349c139
Mo,5,262.3711,0.0010,2800,1.9e+00,C,243954.32,282057.02,,T9479,L19131
Fe,2,262.37251,0.00002,15000,1.9e-01,D+,22939.3512,61041.734,,T6892c83,L18349c139
V,2,262.37921,0.00008,2800,5.5e-02,D+,14556.0689,52657.4892,,T9770,L18516
Cs,3,262.4067,0.0005,1100,2.18e-02,,138543.477,176640.903,,T8611,L14869
Fe,2,262.41132,0.00002,4000,3.5e-01,C+,68000.785,106097.530,,T6892c83,L18349c139
V,4,262.4213,0.0010,50,1.1e+00,D,217350.0,255445.5,,T2757,"L147,L11926"
Co,2,262.42370,0.00005,960bl(Co II)*,1.17e+00,C+,69059.933,107154.877,,T6999,L9429c118
Co,2,262.42740,0.00004,630bl(Co II),4.9e-01,D,61458.124,99552.560,,T6999,L9429c118
Fe,2,262.4401,0.0005,400bl,8.e-03,D,65931.358,104023.921,,T6892c83,L18349c142
Fe,2,262.4539,0.0005,230d?,1.8e-02,D,60445.279,98536.011,,T6892c83,L18349c143
Fe,2,262.4561,0.0005,210,1.4e-02,D,70523.694,108613.977,,T6892c83,L18349c139
Nb,4,262.4735,0.0005,80000,2.5e-01,C,185215.82,223303.56,,T2192,L12094
Mn,2,262.4761,0.0006,40,1.16e-01,B,27571.25,65658.65,,T7259,L562
Mn,2,262.4956,0.0006,10,6.e-01,D,43696.217,81780.73,,c88,L562
Fe,2,262.5067,0.0005,330d?,5.4e-02,D+,54275.649,92358.625,,T6892c83,L18349c143
Fe,2,262.51854,0.00007,4000,2.0e-01,D+,46967.4751,85048.655,,T6892c83,L18349c139
Fe,3,262.5267,0.0013,540,2.3e-02,D,83161.80,121241.90,,T6105,L3495
Cr,1,262.53224,0.00002,87,9.1e-02,E,8095.1842,46174.3884,,T3196,L14866
Pt,2,262.53270,0.00008,1200,2.9e-02,D+,13329.277,51408.413,,T8261,L10146
Fe,2,262.548906,0.000013,100000,2.55e+00,B+,32909.883,70986.667,,T6892c83,L18349c139
Co,2,262.54937,0.00007,350,9.e-02,D,69637.023,107713.738,,T6999,L9429c118
Ag,2,262.551589,0.000021,8200,3.00e-01,B+,89134.7240,127211.1186,,T3754,L11881c113
Mn,2,262.5606,0.0006,3000,2.6e+00,B,27583.59,65658.65,,T7259,L562
Fe,2,262.566685,0.000013,330000,3.52e-01,B+,384.7872,38458.9934,,"T7958,T6610,T7589",L18349c139
Co,2,262.58132,0.00018,520,5.e-03,E,27585.138,65657.249,,T6999,L9429c118
Fe,2,262.58884,0.00017,1400,6.e-03,D,25805.3270,63876.325,,T6892c83,L18349c139
Nb,4,262.6283,0.0005,50000,2.2e-01,C,187731.63,225797.08,,T2192,L12094
Ac,3,262.6440,0.0006,300000h,3.97e+00,A,0.00,38063.01,,"T9249,T8388",L7344
Mn,2,262.6468,0.0018,60D?,1.4e+00,C,49517.69,87580.34,,c88,L562
Fe,2,262.650037,0.000014,26000,3.5e-01,D+,23031.2829,61093.406,,T6892c83,L18349c139
Cr,1,262.65992,0.00002,110,9.3e-02,E,8307.5753,46368.2695,,T3196,L14866
Hg,2,262.6646,0.0003,8,1.3e-03,,100861.369,138921.375,,T7226,L11760
Fe,2,262.6666,0.0005,230d,2.7e-02,D+,60445.279,98505.022,,T6892c83,L18349c143
Fe,2,262.66969,0.00014,2500,1.9e-02,C+,25981.6451,64040.891,,T7461,L18349c139
Co,2,262.67294,0.00003,2600,9.e-01,D,47537.365,85596.170,,T6999,L9429c118
Co,2,262.69554,0.00016,270,1.0e-01,D,70857.053,108912.599,,T6999,L9429c118
Fe,2,262.6958,0.0005,180bl(Fe II)*,4.6e-02,D+,65696.053,103751.672,,T6892c83,L18349c142
Mn,2,262.7058,0.0006,40,8.e-01,D,44139.031,82193.11,,c88,L562
Fe,1,262.72240,0.00006,76,1.09e-03,B,7376.764,45428.402,,T5720,L11631
Sc,3,262.7334,0.0010,1,3.5e-01,D,128107.12,166157.17,,T2886LS,L1891
Cs,3,262.7496,0.0003,2500,5.15e-04,,133265.831,171313.524,,T8611,L14869
Fe,2,262.7551,0.0003,400,5.7e-02,D+,66522.310,104569.226,,T6892c83,L18349c139
Fe,2,262.7567,0.0005,320d,4.2e-02,D+,54283.236,92329.905,,T6892c83,L18349c143
Fe,2,262.7686,0.0002,280,1.1e-02,D,68000.785,106045.712,,T6892c83,L18349c139
Bi,1,262.79044,0.00020,16000,4.56e-01,B,11419.039,49460.910,,"T3401,T3485",L9843
Pt,1,262.802681,0.000009,58000,5.94e-01,B+,775.8761,38815.8940,,T3313n,"L9083,L11529"
V,2,262.80581,0.00006,6600,1.4e+00,D+,37041.1798,75080.739,,T9770,L18516
V,4,262.8090,0.0010,20,8.6e-01,D,217108.0,255146.8,,T2757,L147
Fe,2,262.81975,0.00005,900,8.e-02,D+,65580.065,103617.577,,T6892c83,L18349c145
Zr,3,262.8260,0.0010,700000,1.19e+00,,18401.17,56437.77,,T6869,L9267
Pb,1,262.826231,0.000016,160,4.1e-02,D,10650.3271,48686.9340,,T7227,L50
Fe,2,262.829279,0.000013,270000,8.74e-01,B,977.0498,39013.2160,,"T7958,T6610,T7589",L18349c139
Mn,2,262.8293,0.0006,80,1.8e+00,C,44899.851,82936.09,,c88,L562
C,2,262.846,0.009,28wH,2.6e-01,C,198844.00,236877.8,,T10528,L1176
Fe,2,262.84992,0.00006,2400,2.5e-01,D+,61035.285,99068.465,,T6892c83,L18349c139
Mn,2,262.8505,0.0006,30,2.6e+00,C,65567.061,103600.14,,c88,L562
Fe,2,262.85809,0.00006,4000,3.4e-02,D+,26055.4120,64087.408,,T6892c83,L18349c139
Mn,2,262.8768,0.0006,30,1.3e+00,D,44745.501,82774.81,,c88,L562
Fe,2,262.87990,0.00006,1100,1.1e-01,D+,65580.065,103608.921,,T6892c83,L18349c139
Co,2,262.88159,0.00003,9500,1.6e-01,D,24411.479,62440.078,,T6999,L9429c118
Co,2,262.88931,0.00004,1300,8.e-01,D,47848.781,85876.271,,T6999,L9429c118
Fe,2,262.89446,0.00016,900,8.e-02,D+,61041.734,99068.465,,T6892c83,L18349c139
Mo,1,262.8962,0.0010,80,2.8e-01,B,11142.784,49169.268,,T5293,"L10250,L3475"
Cs,3,262.8988,0.0005,6000,2.55e-02,,145443.182,183469.263,,T8611,L14869
S,2,262.9110,0.0010,5,1.21e-02,D,105599.06,143623.56,,T3186c85,L5883
Fe,2,262.9290,0.0005,"220d,bl(Fe II)*",7.e-02,D,61035.285,99057.089,,T6892c83,L18349c143
Cs,3,262.9536,0.0004,2000,1.44e-02,,148575.860,186593.999,,T8611,L14869
Fe,2,262.95705,0.00003,8000,4.5e-02,D+,54232.201,92249.889,,T6892c83,L18349c139
Fe,2,262.958817,0.000013,70000,7.2e-01,C+,22939.3512,60956.781,,T6892c83,L18349c139
V,2,262.967574,0.000016,170000,1.8e+00,D+,35483.6058,73499.7723,,T9770,L18516
Cr,1,262.98232,0.00002,74,1.0e-01,E,8095.1842,46109.2219,,T3196,L14866
Mo,1,262.9849,0.0010,440,7.7e-01,B,11454.362,49468.023,,T5293,"L10250,L3475"
Fe,2,263.007118,0.000013,50000,5.1e-01,D+,23031.2829,61041.734,,T6892c83,L18349c139
Fe,2,263.01859,0.00016,1400,6.5e-02,D+,54273.656,92282.470,,T6892c83,L18349c139
Ac,2,263.0192,0.0007,36000,4.2e-01,C+,5267.147,43275.794,,T10463,L7344
V,2,263.04616,0.00005,11000,1.8e+00,D+,47297.1150,85301.914,,T9770,L18516
Cs,3,263.05098,0.00006,1500000,2.91e+00,,125926.848,163930.957,,T8611,L14869
Co,2,263.05298,0.00008,760,3.0e-02,D,25861.322,63865.170,,T6999,L9429c118
V,2,263.066416,0.000023,37000,8.7e-01,B,14655.6082,52657.4892,,T9770,L18516
Nb,4,263.0671,0.0005,125000,2.8e-01,C,185759.43,223761.12,,T2192,L12094
Fe,2,263.0848,0.0005,320d,9.e-03,D,54283.236,92282.470,,T6892c83,L18349c143
Fe,2,263.101002,0.000012,80000,6.7e-01,C+,22810.3459,60807.239,,T6892c83,L18349c139
Fe,2,263.104679,0.000013,400000,8.16e-01,B+,862.6118,38858.9696,,"T7958,T6610,T7589",L18349c139
Co,2,263.117,,3900:,9.0e-02,C,9812.860,47807.493,,T6135,L18302
Co,2,263.11814,0.00003,3300,1.15e+00,C+,61240.746,99235.161,,T6999,L9429c118
Si,1,263.1282,0.0010,190,1.06e+00,B,15394.370,53387.334,,T5814,L3521
Fe,2,263.132292,0.000013,400000,6.29e-01,B+,667.6829,38660.0537,,"T7958,T6610,T7589",L18349c139
Fe,2,263.1437,0.0005,"320d,bl",3.4e-02,D+,54283.236,92274.123,,T6892c83,L18349c143
Mo,1,263.1502,0.0010,65,2.54e-01,B,10965.947,48955.732,,T5293,"L10250,L3475"
Ti,1,263.1525,0.0003,14,1.7e-01,C,170.1328,38159.461,,T3499n,L10989
Al,2,263.1546,0.0010,100,2.48e+00,B+,85481.35,123470.5,,T6533,L4575
Fe,2,263.160825,0.000013,90000,6.6e-01,C+,22637.1950,60625.446,,T6892c83,L18349c139
Fe,2,263.1763,0.0005,220d?,1.4e-02,D,61587.205,99573.244,,T6892c83,L18349c143
Ar,3,263.18635,0.00008,6,3.7e-01,E,187172.022,225156.5915,,"T1619CA,LS",L11520
Mn,2,263.2006,0.0018,200*,1.8e+00,D,43339.452,81322.46,,c88,L562
Fe,1,263.22375,0.00002,1660,1.21e-01,B+,7985.785,45964.957,,T5720,L11631
Co,2,263.22462,0.00003,10000,8.e-01,D,18031.427,56010.475,,T6999,L9429c118
Mn,2,263.2354,0.0006,2000,2.7e+00,C,27588.53,65566.03,,c88,L562
Ar,3,263.240,0.004,4,7.5e-02,E,187172.022,225149.2072,,"T1619CA,LS",L7491
Ti,1,263.2411,0.0003,14,2.7e-01,C,0.000,37976.589,,T3499n,L10989
Mn,2,263.243,,4:,4.2e-03,D+,29889.534,67865.945,,T7259,L18292
Fe,2,263.25228,0.00007,1700,1.2e-01,D+,61093.406,99068.465,,T6892c83,L18349c139
Co,2,263.25372,0.00003,1800,1.0e+00,D,61260.319,99235.161,,T6999,L9429c118
Fe,1,263.25938,0.00002,174,9.00e-03,C,704.007,38678.039,,T5720,L11631
Cl,3,263.267,0.010,500,4.1e-01,D,216710.4?,254683.4?,,"T1619CA,LS",L495
Co,2,263.28583,0.00008,870,3.0e-01,D,64401.359,102371.610,,T6999,L9429c118
Cs,3,263.2871,0.0005,1500,3.80e-02,,182505.260,220475.332,,T8611,L14869
W,1,263.3129,0.0010,150r,6.5e-01,B,1670.29,39636.62,,T6977,L153
Cl,3,263.318,0.010,500,1.6e+00,D,201763.86,239729.9?,,"T1619CA,LS",L495
Fe,2,263.32028,0.00003,12000,1.21e+00,C+,38164.220,76129.465,,T6892c83,L18349c139
Fe,2,263.3543,0.0005,"160d,bl(Fe II)?*",1.2e-02,D,66612.659,104572.924,,T6892c83,L18349c143
Ca,3,263.4139,0.0005,2500,7.4e-01,B,243930.44,281882.24,,T7942,L1405
Cs,3,263.42143,0.00007,40000,1.42e+00,,164489.795,202440.470,,T8611,L14869
Ba,2,263.47799,0.00010,381,7.3e-01,C,21952.404,59894.928,,"T3225,T7387",L9224
Co,2,263.48915,0.00004,540bl(Co II),2.2e-01,D,63510.180,101451.074,,T6999,L9429c118
Fe,2,263.4904,0.0005,320bl(Fe II)*,3.4e-02,D,54275.649,92216.391,,T6892c83,L18349c142
Fe,2,263.4904,0.0005,320bl(Fe II)*,2.0e-02,D,66248.647,104189.382,,T6892c83,L18349c142
Co,2,263.49219,0.00003,18000bl(Co II),3.7e-01,D,29268.777,67209.258,,T6999,L9429c118
Fe,2,263.4991,0.0005,320d?,2.9e-02,D+,54232.201,92171.690,,T6892c83,L18349c143
K,3,263.511,0.003,5,1.29e+00,,208687.8,246625.6,,T7942,L3491
Fe,2,263.5125,0.0005,310,9.e-03,D,31364.4554,69302.086,,T6892c83,L18349c142
S,4,263.5353,0.0010,5,7.36e-01,D+,270826.7,308761.0,,"T6527c4,LS",u24
Fe,2,263.54001,0.00005,6000,4.1e-02,D+,26352.7671,64286.354,,T6892c83,L18349c139
Ti,2,263.544755,0.000014,469,1.9e+00,D,30836.4250,68769.3365,,T2805,u37
Mn,2,263.5604,0.0018,*,3.2e-01,D,44899.851,82830.76,,c88,L562
Mn,2,263.5604,0.0015,*,1.2e+00,D,43850.341,81780.73,,c88,L562
Fe,1,263.57211,0.00010,76,4.29e-02,C,19621.006,57550.010,,T5720,L11631
Ne,3,263.57227,0.00010,240,3.3e-01,C,398972.658,436901.63,,c52,L9091
Fe,1,263.58087,0.00002,2090,2.11e-01,B+,7985.785,45913.497,,T5720,L11631
Co,2,263.58656,0.00003,2100*,3.3e-01,D,63306.686,101233.605,,T6999,L9429c118
Co,2,263.58656,0.00003,2100*,1.0e-01,D,27585.138,65511.991,,T6999,L9429c118
Cs,3,263.6052,0.0004,7000,3.10e+00,,181544.785,219468.972,,T8611,L14869
Co,2,263.60675,0.00003,22000,4.7e-01,D,27484.373,65408.365,,T6999,L9429c118
V,4,263.6401,0.0010,30,1.0e+00,D,216905.0,254824.1,,T2757,L147
Fe,1,263.64785,0.00006,490,7.86e-03,B,7376.764,45294.846,,T5720,L11631
W,1,263.6544,0.0010,30,5.6e-02,B,2951.29,40868.40,,T6977,L153
Cs,3,263.6616,0.0003,4500D,7.98e-06,,132419.196,170335.312,,T8611,L14869
Fe,2,263.6696,0.0002,1500,9.e-02,D+,38214.503,76129.465,,T6892c83,L18349c139
Fe,2,263.6750,0.0005,310,2.1e-02,D,31387.9788,69302.086,,T6892c83,L18349c142
Cs,3,263.6797,0.0003,2800,7.35e-03,,144591.760,182505.260,,T8611,L14869
Fe,2,263.6798,0.0005,230,1.1e-02,D,60441.042,98354.656,,T6892c83,L18349c143
Fe,2,263.6846,0.0005,170d?,1.8e-02,D+,65696.053,103608.921,,T6892c83,L18349c143
S,3,263.6872,0.0010,"5bl,w",4.81e-01,D,172787.26,210699.24,,"T6066c4,LS",L11011
V,4,263.6936,0.0010,10,1.6e-01,D,217836.3,255747.6,,T2757,L147
Sn,1,263.69923,0.00004,790,1.1e-01,D,17162.499,55073.194,,T4515,"L3149,L7378"
Fe,2,263.7174,0.0005,140d?,4.9e-02,D+,66078.272,103986.338,,T6892c83,L18349c142
Co,2,263.73345,0.00003,3800,5.e-02,D,28111.872,66017.647,,T6999,L9429c118
Na,3,263.7450,0.0010,0,2.15e-02,B,373632.32,411536.38,,"c51,T7317",L7396
Fe,2,263.749718,0.000019,15000,6.2e-01,C+,46967.4751,84870.911,,T6892c83,L18349c139
Fe,2,263.764345,0.000014,32000,6.6e-01,D+,26932.7348,64834.069,,T6892c83,L18349c139
In,2,263.7647,0.0014,9,8.e-03,E,109780.221,147681.43,,T9131,L3548c122
Al,2,263.7689,0.0010,3000,2.85e-01,C+,95549.42,133450.07,,"T6298c4,LS",L4575
Co,2,263.78338,0.00006,460,7.e-01,D,69637.023,107535.612,,T6999,L9429c118
Mn,2,263.7889,0.0006,100,2.2e+00,C,44521.54,82419.50,,c88,L562
Mn,2,263.8173,0.0006,1000,2.7e+00,C,27589.36,65483.12,,c88,L562
Al,2,263.8178,0.0010,1000,3.18e-02,C+,95549.42,133443.08,,"T6298c4,LS",L4575
Fe,2,263.82373,0.00013,1800,3.6e-02,D+,54273.656,92166.417,,T6892c83,L18349c139
Al,2,263.8255,0.0010,2500,2.53e-01,C+,95550.51,133443.08,,"T6298c4,LS",L4575
Mo,1,263.8305,0.0010,250,7.6e-01,B,11454.362,49346.196,,T5293,"L10250,L3475"
Co,2,263.83407,0.00003,950,4.2e-01,D,62440.078,100331.391,,T6999,L9429c118
V,2,263.8464,0.0016,5000h,1.1e+00,D,49568.4673,87458.05,,T9770,L10089c179
Ti,2,263.856431,0.000014,790,1.7e+00,D,30958.5846,68846.699,,T2805,u37
Al,2,263.8627,0.0010,500,4.44e-02,C+,95550.51,133437.71,,"T6298c4,LS",L4575
Ne,3,263.86422,0.00010,600,9.5e-01,C,374489.507,412376.48,,c52,L9091
Al,2,263.8690,0.0010,2000,2.40e-01,C+,95551.44,133437.71,,"T6298c4,LS",L4575
Ne,3,263.8695,0.0010,150,1.3e+00,C,374490.160,412376.48,,c52,L11529
Ne,3,263.87112,0.00010,1500,1.8e+00,C,374489.507,412375.508,,c52,L9091
Co,2,263.87880,0.00004,650,3.5e-01,D,61350.268,99235.161,,T6999,L9429c118
Fe,2,263.8827,0.0005,250?,4.3e-03,D,54232.201,92116.529,,T6892c83,L18349c142
S,5,263.8905,0.0010,13,3.13e+00,B+,311595.1,349478.3,,T7942c84,L5337
Fe,2,263.8956,0.0005,130d?,7.e-03,D,67516.328,105398.876,,T6892c83,L18349c142
Co,2,263.90820,0.00008,1000,5.0e-01,D,47995.594,85876.271,,T6999,L9429c118
Ne,3,263.913,0.010,400,5.9e-02,C,374496.068,412376.48,,c52,L10704
Ne,3,263.91674,0.00010,600,5.5e-01,C,374496.068,412375.508,,c52,L9091
Pt,1,263.93454,0.00020,5500,1.46e-01,B,6567.4517,44444.346,,T3313,L11529
Sc,3,263.9546,0.0010,2,6.9e-01,D,128283.15,166157.17,,T2886LS,L1891
Fe,2,263.956417,0.000017,21000,8.e-01,D+,26932.7348,64806.494,,T6892c83,L18349c139
Ir,1,263.971,0.010,3500,4.69e-01,A,0.00,37871.69,,"T4422,T7959",L3475
Mn,2,263.9849,0.0006,300,1.9e+00,C,32787.90,70657.595,,c88,L562
Fe,2,264.0028,0.0005,110d?,9.e-03,D,70314.624,108181.564,,T6892c83,L18349c142
Cs,3,264.0263,0.0002,29000D,4.80e-01,,150467.268,188330.992,,T8611,L14869
Ar,4,264.028,0.003,12,2.2e+00,D,251967.35,289830.5,,"T1619CA,LS",L11418
Co,2,264.04863,0.00021,320,1.0e-02,D,31199.412,69059.933,,T6999,L9429c118
Ne,3,264.0559,0.0010,1000,1.3e+00,C,398972.658,436832.07,,c52,L10704
C,2,264.056,0.005,150*,4.89e-01,B,181696.69,219557.50,,T5109LS,L1176
C,2,264.056,0.005,150*,5.26e-01,B,181711.05,219570.20,,T5109LS,L1176
Nb,4,264.0777,0.0005,70000,6.7e-01,D+,186370.57,224226.91,,T2192,L12094
Si,3,264.079,0.010,11,1.83e+00,B,205029.09,242885.30,,T6298c4,L4833
V,2,264.081940,0.000016,200000,4.3e+00,D+,34592.8439,72448.6001,,T9770,L18516
C,2,264.0894,0.0007,140,6.00e-01,B,181736.06,219590.79,,T5109LS,L1176
In,2,264.0920,0.0014,4,7.e-04,D+,109780.221,147634.61,,T9131,L3548c121
Mo,1,264.0984,0.0010,410,1.20e+00,B,11858.498,49711.894,,T5293,"L10250,L3475"
Fe,1,264.10292,0.00010,33,7.71e-02,D+,19788.251,57641.001,,T5720,L11631
Ne,3,264.10831,0.00010,1500,2.3e+00,C,374496.068,412348.045,,c52,L9091
Ti,1,264.1087,0.0003,15,1.8e+00,C,0.000,37851.802,,T3499n,L10989
Fe,2,264.11242,0.00004,7000,3.7e-02,D,21812.0454,59663.440,,T6892c83,L18349c139
Ba,2,264.13710,0.00010,41,1.2e-01,C,21952.404,59800.254,,"T3225,T7387",L9224
Fe,2,264.14176,0.00012,900,5.1e-02,D+,61726.069,99573.244,,T6892c83,L18349c139
C,2,264.143,0.005,250w*,6.99e-01,B,181772.40,219619.86,,T5109LS,L1176
C,2,264.143,0.005,250w*,1.96e-01,B,181711.05,219557.50,,T5109LS,L1176
Au,1,264.148,0.010,250,4.4e-02,D,9161.177,47007.433,,T7963,L1336
Nb,4,264.1632,0.0005,75000,2.9e-01,C,184368.90,222212.99,,T2192,L12094
Fe,1,264.16436,0.00020,870bl,6.47e-02,C,7376.764,45220.681,,T5720,L11631
Fe,2,264.164374,0.000013,50000bl(Fe I),8.9e-01,C+,59663.440,97507.414,,T6892c83,L18349c148
Fe,2,264.20123,0.00003,10000,2.3e-01,D+,31811.814,69650.481,,T6892c83,L18349c139
Ti,2,264.202701,0.000014,1290,1.9e+00,D,31113.6764,68952.1302,,T2805,u37
V,2,264.220578,0.000018,24000,4.3e-01,D+,14556.0689,52391.9627,,T9770,L18516
Ne,3,264.2219,0.0010,200,7.4e-01,C,399111.356,436947.05,,c52,L9091
Mn,2,264.2235,0.0018,40*,3.9e-01,D,49882.208,87717.66,,c88,L562
V,1,264.22639,0.00012,190000,8.1e-02,B,0.000,37835.065,,T9399,L15916
C,2,264.2331,0.0007,53,1.70e-01,B,181736.06,219570.20,,T5109LS,L1176
Fe,2,264.2390,0.0005,320,2.9e-02,D+,54283.236,92116.529,,T6892c83,L18349c143
Ne,3,264.2402,0.0010,240,1.00e+00,C,399068.682,436901.63,,c52,L10704
Mn,2,264.251,0.002,10,1.4e-03,D,38543.122,76374.791,,T7259,L562
Cs,3,264.26363,0.00009,75000,2.93e+00,,160647.193,198476.917,,T8611,L14869
V,2,264.27116,0.00011,13000,3.3e-01,D+,30318.5317,68147.179,,T9770,L18516
Mn,2,264.2775,0.0006,40,4.3e-01,D,49889.927,87717.66,,c88,L562
Mo,5,264.2888,0.0010,6600,3.7e+00,C,244170.15,281996.44,,T9479,L19131
Fe,2,264.2978,0.0005,310d?,7.3e-02,D+,54870.541,92695.398,,T6892c83,L18349c143
Co,2,264.30907,0.00003,1100,2.6e-02,D,27585.138,65408.365,,T6999,L9429c118
V,1,264.31549,0.00009,180000,6.4e-02,C+,137.383,37959.695,,T9399,L15916
C,2,264.3427,0.0007,53,9.95e-02,B,181772.40,219590.79,,T5109LS,L1176
Cs,3,264.3494,0.0003,4500,5.72e-04,,138464.327,176281.761,,T8611,L14869
V,2,264.36507,0.00003,6900,1.3e+00,D,37520.6639,75335.877,,T9770,L18516
Co,2,264.37210,0.00007,100,2.4e-02,D,69637.023,107451.187,,T6999,L9429c118
Fe,2,264.3771,0.0005,320d?,2.7e-02,D+,54275.649,92089.043,,T6892c83,L18349c143
Zr,3,264.3807,0.0010,5000000,2.66e+00,,19535.87,57348.86,,T6869,L9267
Eu,1,264.3815,0.0010,6,7.e-03,E,0.00,37812.80,,"T7227,T4819","L3780,L7586"
Fe,1,264.39984,0.00002,1150,2.34e-01,B+,8154.714,45964.957,,T5720,L11631
V,2,264.41496,0.00003,12000,2.0e+00,D+,47607.8215,85415.905,,T9770,L18516
Ti,1,264.4253,0.0003,15,1.4e+00,C,170.1328,37976.589,,T3499n,L10989
V,2,264.433229,0.000016,230000,4.3e+00,D+,34745.8281,72551.2964,,T9770,L18516
Mo,1,264.4362,0.0010,154,1.96e-01,B,11454.362,49259.406,,T5293,L10250
Co,2,264.44433,0.00012,540,7.e-03,E,25861.322,63665.192,,T6999,L9429c118
Fe,2,264.4570,0.0005,160?,2.3e-02,D+,62689.874,100492.025,,T6892c83,L18349c142
W,1,264.4600,0.0010,30,7.3e-02,B,6219.33,44021.00,,T6977,L153
Fe,2,264.46274,0.00003,2500,4.9e-01,D+,69606.567,107407.818,,T6892c83,L18349c139
V,4,264.4946,0.0010,8,2.7e-01,D,217350.0,255146.8,,T2757,L147
Fe,2,264.49905,0.00005,2300,5.1e-01,D+,62125.604,99921.670,,T6892c83,L18349c139
Fe,2,264.50819,0.00005,6000bl(Fe II)*,5.e-03,D,27314.9183,65109.691,,T6892c83,L18349c148
Fe,2,264.50819,0.00005,6000bl(Fe II)*,7.4e-02,D+,31811.814,69606.567,,T6892c83,L18349c148
Fe,2,264.51983,0.00013,2300,5.2e-01,D+,54902.286,92695.398,,T6892c83,L18349c139
V,1,264.52571,0.00009,610000,1.13e-01,C+,323.432,38115.684&dagger;,,T9399,L15916
Fe,2,264.53338,0.00008,3400,8.1e-01,C+,54904.241,92695.398,,T6892c83,L18349c139
Fe,3,264.539,0.003,6900bl(Fe II),4.0e-02,D,84159.77,121949.78,,T6105,L3495
Fe,1,264.54214,0.00006,132,3.38e-03,C,888.132,38678.039,,T5720,L11631
Fe,2,264.55233,0.00006,800,3.7e-02,D+,70986.667,108775.110,,T6892c83,L18349c139
V,4,264.5541,0.0010,80,2.8e+00,D,218463.6,256251.7,,T2757,"L147,L11926"
Fe,2,264.5578,0.0005,160,4.2e-02,D+,62962.215,100749.825,,T6892c83,L18349c142
