element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(10^8 s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type,tp_ref,line_ref
Co,2,250.58863,0.00008,330,6.e-02,D,5.75940077,10.70562701,5,7,,T6999,L9429c118
W,1,250.6020,0.0010,20,3.2e-01,C,0.412313,5.358266,5,3,,T6977,L153
Fe,2,250.609325,0.000012,90000,9.9e-01,C+,3.19945278,8.1452725,10,10,,T6892c83,L18349c139
V,2,250.62207,0.00003,14000,1.08e-01,C,1.09627457,6.04184273,7,9,,T9770,L18516
Cu,2,250.62727,0.00003,1000000,2.0e+00,C+,8.48643755,13.43190349,7,5,,T6136,"L19804c167,c174"
Na,2,250.6301,0.0003,450,2.7e-01,C+,36.354688,41.300096,3,3,,T7663,L914
Co,2,250.63727,0.00010,230,1.0e-02,E,8.59907782,13.5443376,7,5,,T6999,L9429c118
Fe,2,250.643094,0.000018,19000bl(Fe II)*,3.8e-02,D+,2.54377802,7.4889348,6,6,,T6892c83,L18349c148
Fe,2,250.643094,0.000018,19000bl(Fe II)*,1.1e-01,D+,6.21873433,11.1638849,10,10,,T6892c83,L18349c148
Co,2,250.64643,0.00003,78000,1.32e+00,B+,1.21663958,6.16172739,9,9,,T6854,L9429c118
Fe,1,250.65722,0.00005,120,2.04e-01,C+,2.58810592,7.5329818,7,9,,T5720,L11631
Ag,2,250.659265,0.000019,50000,2.13e-01,B,5.42340791,10.36824241,3,3,,T6475c86,L11881c113
Ag,2,250.66289,0.00003,5300,4.6e-01,D+,10.77275131,15.71751387,5,3,,T9142,L11881c113
Fe,2,250.67207,0.00005,1600,4.6e-01,D+,7.9400585,12.8846409,8,8,,T6892c83,L18349c139
Fe,2,250.67649,0.00008,2500,4.4e-02,D+,5.51071390,10.4552114,8,6,,T6892c83,L18349c139
Fe,2,250.679656,0.000012,50000bl(Fe II)*,1.98e+00,B+,6.22249688,11.1669291,8,10,,T6892c83,L18349c148
Si,1,250.690,0.010,425,5.47e-01,B,0.0095610,4.9537952,3,5,,T5814,L3521
V,1,250.69063,0.00009,580000,5.1e-01,C+,0.00000000,4.9442153,4,2,,T9399,L15916
Li,2,250.694,0.010,*,2.559e-02,AA,69.585282,74.529574,5,7,,T8636c73,L3501
Li,2,250.694,0.010,*,3.0283e-02,AAA,69.585282,74.52943,5,5,,T8636c73,L3501
Li,2,250.694,0.010,*,1.4753e-01,AAA,69.585282,74.52943,5,7,,T8636c73,L3501
Li,2,250.694,0.010,*,1.8126e-02,AAA,69.585359,74.52943,7,7,,T8636c73,L3501
Li,2,250.694,0.010,*,1.9476e-01,AAA,69.585359,74.52943,7,9,,T8636c73,L3501
Li,2,250.694,0.010,*,1.6359e-01,AAA,69.585425,74.52943,3,5,,T8636c73,L3501
V,4,250.6969,0.0010,10,3.6e-01,,26.89279,31.83689,3,3,,T2757,L147
Fe,2,250.6987,0.0003,1600,6.4e-02,D+,4.49479059,9.4388507,6,4,,T6892c83,L18349c139
Fe,2,250.70221,0.00003,9000,8.e-02,D+,3.23045937,8.1744466,6,8,,T6892c83,L18349c139
Ne,3,250.7037,0.0010,360,4.0e+00,C,52.103683,57.047640,5,7,,c52,L10704
Ag,2,250.70909,0.00003,12000,9.e-01,D+,11.26865627,16.21250816,5,3,,T9142,L11881c113
Be,2,250.7429,0.0020,210*,1.81e-01,AA,12.157217,17.100435,4,6,,T7409LS,L12158
Be,2,250.7429,0.0020,210*,1.30e-02,AA,12.157283,17.100435,6,6,,T7409LS,L12158
Be,2,250.7429,0.0020,210*,1.94e-01,AA,12.157283,17.100435,6,8,,T7409LS,L12158
W,3,250.7593,0.0010,60,9.3e-02,C,2.846061,7.788917,5,5,,T7469,L10405
Fe,2,250.759408,0.000016,23000,6.5e-01,D+,4.81789820,9.7607579,6,4,,T6892c83,L18349c139
Mn,2,250.7598,0.0006,300,3.2e-01,C+,3.803774,8.7466314,11,9,,T7259,L562
Fe,2,250.76636,0.00002,5000,4.7e-01,D+,7.9286411,12.8713640,10,8,,T6892c83,L18349c139
Fe,2,250.768629,0.000017,20000,4.3e-01,D+,4.79323577,9.7359140,8,6,,T6892c83,L18349c139
O,4,250.773,0.010,200,2.32e+00,B,54.42707,59.36966,4,2,,T5109LS,L648
Mn,2,250.7813,0.0006,50,7.e-01,D,6.5281805,11.470606,9,9,,c88,L562
V,1,250.78628,0.00009,280000,1.3e-01,C,0.01703332,4.9593637,6,6,,T9399,L15916
Fe,1,250.79001,0.00002,4900,1.93e-01,B+,0.95815732,5.90041395,7,9,,T5720,L11631
Tl,1,250.794,0.010,1r,1.1e-02,C,,,4,2,,T4515,L3428
Co,2,250.79628,0.00003,8300,1.1e-01,D,1.44457424,6.38670726,5,7,,T6999,L9429c118
