element,sp_num,obs_wl_air(nm),unc_obs_wl,intens,Aki(10^8 s^-1),Acc,Ei(eV),Ek(eV),g_i,g_k,Type,tp_ref,line_ref
Hg,2,298.0554,0.0004,100h,1.6e-02,,13.1529893,17.3115470,4,4,,T7226,L11760
Cd,1,298.06204,0.00010,1000r,5.9e-01,D,3.94603913,8.1045032,5,7,,T4515,L3486
Na,2,298.0627,0.0003,1100,3.30e-03,D,36.854157,41.012615,7,5,,T6036,L914
Fe,2,298.0647,0.0005,500,1.6e-02,D+,7.2693948,11.4278331,10,10,,T6892c83,L18349c143
Sc,1,298.07595,0.00015,6g,5.4e-01,C+,0.0208711,4.1791396,6,6,,T5448,"L2110,L4189c12"
Cr,1,298.07900,0.00002,240,5.10e-01,B,0.96097009,5.11919762,1,3,,T4624,L14866
Fe,2,298.0959,0.0005,1400,1.1e-02,D,3.42449356,7.5824802,6,8,,T6892c83,L18349c143
V,2,298.12004,0.00004,17000,7.6e-01,B,2.3763202,6.5339756,3,5,,T9770,L18516
B,5,298.136,0.020,130*,4.2227e+00,AA,(326.619738738),(330.777658422),4,6,,T7771,L12548
B,5,298.136,0.020,130*,6.6701e+00,AA,(326.620342938),(330.777833204),6,8,,T7771,
B,5,298.136,0.020,130*,4.5243e+00,AA,(326.620344029),(330.777833538),6,8,,T7771,
B,5,298.136,0.020,130*,1.0061e+01,AA,(326.620644967),(330.7779380646),8,10,,T7771,
B,5,298.136,0.020,130*,6.9168e+00,AA,(326.620645534),(330.777938270),8,10,,T7771,
B,5,298.136,0.020,130*,1.0289e+01,AA,(326.620826520),(330.7780081064),10,12,,T7771,
Cd,1,298.13625,0.00010,200r,1.5e-01,D,3.94603913,8.10346847,5,5,,T4515,L3486
Fe,1,298.14448,0.00003,107000,6.53e-02,A,0.05156912,4.20888328,7,5,,T3547,L11631
Ti,1,298.1473,0.0004,12,7.3e-03,C,0.02109378,4.1783771,7,9,,T3499n,L10989
Hg,2,298.1513,0.0004,250,1.1e-02,,12.7931699,16.9503903,4,6,,T7226,L11760
Mo,1,298.1516,0.0010,120,1.11e-01,B,1.4702664,5.6274816,7,5,,T5293,"L10250,L3475"
Ni,1,298.165,0.010,570,2.8e-01,C,0.1090833,4.2661171,5,3,,T4812,L3475
Fe,1,298.18507,0.00022,2690bl*,1.86e-01,B,2.17594512,6.33269478,7,9,,T5720,L11631
V,2,298.19217,0.00010,2900,6.0e-02,D+,2.52221646,6.6788640,5,5,,T9770,L18516
S,4,298.1984,0.0010,17,1.17e+00,D+,32.74022,36.89679,6,4,,"T6527c4,LS",u24
Fe,2,298.20610,0.00003,6000,2.4e-01,D+,4.47910423,8.6355591,4,6,,T6892c83,L18349c139
C,3,298.211,0.010,200,1.52e-01,B,34.279506,38.435885,5,3,,T5633,L1113
Fe,1,298.2228,0.0004,2,3.47e-02,D+,2.99035244,7.14657331,9,7,,T5720,L11631c80
Fe,2,298.2255,0.0005,700,1.2e-02,D,3.81430861,7.9704921,8,8,,T6892c83,L18349c143
Cs,3,298.25815,0.00014,6000,3.55e-01,,20.3941354,24.5498639,4,6,,T8611,L14869
Ne,1,298.26696,0.00008,3000,2.63e-03,C,16.61907009,20.77467615,5,7,,T6976,L5951
V,2,298.27587,0.00009,11000,1.0e+00,D+,1.67524961,5.8307331,3,1,,T9770,L18516
V,2,298.3004,0.0016,4100h*,1.1e-01,D+,1.6855312,5.8406575,5,3,,T9489n,L10089c179
Mo,1,298.3045,0.0010,50,2.8e-01,B,2.4759455,6.6310293,1,3,,T5293,"L10250,L3475"
Ti,1,298.3305,0.0004,15+,1.1e-01,C,0.02109378,4.1758186,7,7,,T3499n,L10989
V,2,298.35623,0.00008,25000,5.4e-01,B+,1.6855312,5.83989528,5,5,,T9616n,L18516
Fe,1,298.35695,0.00003,r,2.79e-01,A,0.0000000,4.15435379,9,7,,T3547,L11631
O,3,298.378,0.010,250,2.15e+00,B,33.857770,38.011829,3,5,,"T5376,T5791,u24",L3492
Ni,1,298.413,0.010,250,6.6e-02,C+,0.0000000,4.1535726,9,7,,T4812,L3475
W,1,298.4140,0.0010,40,1.47e-02,B,0.771099,4.924647,9,9,,T6977,L153
Fe,2,298.4178,0.0005,120d?,5.3e-02,D+,8.7438237,12.8973225,8,6,,T6892c83,L18349c143
Na,2,298.4186,0.0003,1300bl*,1.74e-01,B,32.941315,37.094827,3,5,,T7663,L914
Na,2,298.4186,0.0003,1300bl*,2.4e+00,E,36.967803,41.121292,3,5,,T6036c79,L914
Fe,2,298.4213,0.0005,100d?,1.9e-02,D+,8.7179023,12.8713640,10,8,,T6892c83,L18349c142
Y,1,298.4254,0.0010,750,4.78e-01,B+,0.06575514,4.21915772,6,8,,T4373,"L7610,L3475"
Fe,2,298.4293,0.0005,"100d,bl(Fe II)*",7.e-03,D,9.2500722,13.4034281,6,4,,T6892c83,L18349c143
Mn,2,298.4593,0.0006,60,7.9e-02,D+,4.1097923,8.2627156,11,9,,T7259,L562
Ti,3,298.4747,0.0010,22,1.9e+00,D,5.170670,9.323390,5,5,,T1216,"L3593,L11926"
Fe,1,298.47679,0.00003,2450,2.58e-03,B,0.85899575,5.01168158,11,9,,T5720,L11631
Fe,2,298.482516,0.000014,100000,4.3e-01,C,1.67061856,5.82322475,6,6,,T7589,L18349c139
Fe,2,298.4890,0.0003,500,6.e-03,D,3.38661825,7.5391368,8,10,,T6892c83,L18349c139
Fe,2,298.49619,0.00005,1900,5.4e-01,C+,8.3070070,12.4594232,6,8,,T6892c83,L18349c139
Fe,2,298.5091,0.0005,250,6.e-03,D,7.11806748,11.2703037,6,6,,T6892c83,L18349c143
V,2,298.51793,0.00003,17000,1.6e-01,C,3.7990950,7.9512088,7,9,,T9770,L18516
Cs,3,298.52546,0.00016,3000,2.19e-02,,16.7479167,20.8999240,6,8,,T8611,L14869
Cr,2,298.532043,0.000006,730,2.2e+00,D,3.74665105,7.89856848,10,10,,T3683,L18847
Fe,2,298.554532,0.000014,40000,2.39e-01,B,1.72398297,5.87558748,2,4,,T7589,L18349c139
Fe,2,298.5637,0.0005,600?,1.2e-02,D,5.54876624,9.7002396,8,8,,T6892c83,L18349c143
Ir,1,298.580,0.010,150,9.e-02,D,0.784065,4.935311,8,6,,T7959,L3475
S,3,298.5986,0.0010,10,8.75e-01,D,21.473213,25.624200,5,5,,"T6066c4,LS",L11011
Co,3,298.6183,0.0010,6,2.1e-03,D,9.0864600,13.2371768,10,10,,u37,L6156
K,3,298.620,0.003,5,1.18e+00,,25.873990,30.02467,4,4,,T7942,L3491
Fe,2,298.63435,0.00008,1000,4.1e-01,C+,8.3408923,12.4913863,4,6,,T6892c83,L18349c139
Fe,1,298.64557,0.00003,3800,2.19e-03,A,0.11011433,4.26045326,3,3,,T3547,L11631
Hg,2,298.6592,0.0004,80h,1.1e-03,,13.1689890,17.3191429,8,6,,T7226,L11760
Co,1,298.716,0.010,690,4.9e-02,B,0.000000,4.149363,10,8,,T4223,L3475
W,2,298.72807,0.00010,19,4.09e-02,B,1.09511870,5.24431127,2,4,,T7162,L11762
Fe,1,298.72904,0.00003,12300,5.25e-02,C+,0.91460217,5.06378173,9,7,,T5720,L11631
Fe,2,298.7512,0.0005,170d?,2.7e-02,D+,8.0381375,12.1870155,10,12,,T6892c83,L18349c143
Fe,2,298.75347,0.00008,800,5.5e-02,D+,8.7438237,12.8926628,8,8,,T6892c83,L18349c139
Si,1,298.7645,0.0010,150,2.66e-02,D+,0.7809579,4.9296471,5,3,,T5814,L3521
Fe,2,298.77885,0.00008,800,8.8e-01,C+,8.7438237,12.8923104,8,8,,T6892c83,L18349c139
Mo,1,298.7918,0.0010,110,8.4e-01,B,2.4958407,6.6441488,3,5,,T5293,"L10250,L3475"
V,2,298.80250,0.00011,13000,4.0e-01,B,1.6855312,5.8336907,5,7,,T9616,L18516
Mo,1,298.8229,0.0010,80,4.3e-01,B,2.5145196,6.6623949,5,7,,T5293,"L10250,L3475"
Fe,1,298.84711,0.00003,1550,5.44e-03,B+,1.48486439,5.63240401,9,9,,T5720,L11631
Ca,3,298.8630,0.0005,6000,1.50e+00,B,30.2435201,34.390844,3,5,,T7942,L1405
Cr,1,298.86474,0.00002,310,5.2e-01,C,0.94143042,5.08872640,5,7,,T3196,L14866
Mo,1,298.8676,0.0010,160,1.61e-01,B,2.5231413,6.6703970,7,9,,T5293,"L10250,L3475"
Sc,2,298.8918,0.0010,12bl,2.9e+00,E,3.233674,7.380583,5,7,,T2757,L5141
Fe,1,298.89430,0.00018,100,7.99e-03,D+,2.72754450,6.8744289,9,9,,T5720,L11631
Sc,1,298.8974,0.0002,6g,6.9e-02,C+,0.0208711,4.1677126,6,4,,T5448,"L2110,L4189c12"
Bi,1,298.9004,0.0010,28000,5.4e-01,C+,1.4157804,5.5625605,4,4,,T6498,L9843
Fe,2,298.9068,0.0005,600bl(Fe II)?*,7.e-03,D,5.58919550,9.7359140,6,6,,T6892c83,L18349c143
Cr,2,298.918973,0.000006,650,2.2e+00,D,3.73895849,7.88550172,8,8,,T3683,L18847
Lu,1,298.927,0.010,1800,1.28e+00,B+,0.000000,4.146416,4,2,,T7218,L3475
Ca,3,298.9274,0.0005,4200,1.24e+00,B,30.710438,34.856862,3,3,,T7942,L1405
V,2,298.93079,0.00009,4500,3.9e-01,C,2.3757135,6.5220923,1,3,,T9770,L18516
V,2,298.937908,0.000023,23000,1.0e+00,D,5.8497277,9.9960084,7,5,,T9770,L18516
Co,1,298.959,0.010,690,3.8e-02,C+,0.000000,4.145997,10,10,,T4223,L3475
V,2,298.95947,0.00016,15000,4.7e-01,B,1.7037461,5.8497277,7,7,,T9770,L18516
Mn,2,298.9732,0.0006,60,1.3e-02,D+,4.122308,8.2681019,9,7,,T7259,L562
V,2,298.97473,0.00023,2800,1.1e-01,D+,2.3763202,6.5220923,3,3,,T9770,L18516
Mo,1,298.9799,0.0010,190,9.3e-01,B,2.4992489,6.6449468,9,7,,T5293,"L10250,L3475"
Ti,2,299.004315,0.000018,67,5.6e-01,D,3.97066729,8.11602678,6,8,,T2403n,u37
Co,3,299.008,0.002,12,5.e-03,D,9.1578483,13.3031438,4,4,,u37,L3537c164
Fe,1,299.03913,0.00003,5200,3.5e-01,D+,2.72754450,6.87242168,9,11,,T2491n,L11631
W,1,299.0506,0.0010,40,3.5e-02,C,0.598844,4.743561,7,9,,T6977,L153
W,1,299.0714,0.0010,50,2.64e-02,B,0.771099,4.915528,9,7,,T6977,L153
Sn,2,299.099,0.003,220,9.1e-03,C+,7.2957486,11.4397872,4,4,,T8718,L17864
Fe,2,299.1236,0.0005,270,1.4e-02,D,3.42449356,7.5682105,6,6,,T6892c83,L18349c142
Ne,3,299.1737,0.0010,1000,1.5e+00,C,50.378798,54.521819,5,5,,c52,L10704
Fe,2,299.1828,0.0005,800bl(Fe II)*,1.0e-02,D,5.51071390,9.6536143,8,10,,T6892c83,L18349c143
Cr,1,299.18875,0.00002,220,3.0e+00,D,0.96841324,5.11121771,3,1,,T3196,L14866
Co,3,299.1956,0.0010,83,2.0e-02,D+,9.1179938,13.2607058,8,6,,u37,L6156
K,1,299.2108,0.0010,a,3.16e-05,C+,0.00000000,4.1424855,2,4,,"T5436n,extrap",L3287
K,1,299.2215,0.0010,a,2.12e-05,C+,0.00000000,4.1423407,2,2,,"T5436n,extrap",L3287
Mn,2,299.2410,0.0018,20D*,1.7e-02,D+,4.1260367,8.2681019,7,7,,T7259,L562
K,3,299.242,0.003,6,2.51e+00,,25.717038,29.85910,6,8,,T7942,L3491
Ne,1,299.24296,0.00008,2000,8.3e-03,D+,16.67082693,20.81287950,3,1,,T6976,L5951
Ni,1,299.260,0.010,500,5.4e-02,C+,0.0253904,4.1672193,7,5,,T4812,L3475
C,2,299.262,0.003,690h*,7.73e-01,B,18.045807,22.187763,4,6,,T7476,L1176
C,2,299.262,0.003,690h*,8.28e-01,B,18.045987,22.187773,6,8,,T7476,L1176
C,2,299.262,0.003,690h*,5.3e-02,C,18.045987,22.187763,6,6,,T10276,L1176
V,2,299.2981,0.0016,1300h,1.6e-01,C,5.4803096,9.6215951,3,5,,T9770,L10089c179
Bi,1,299.3327,0.0010,6000,1.45e-01,C+,1.4157804,5.5565801,4,6,,T6498,L9843
Mn,2,299.3611,0.0018,50*,5.9e-02,D+,4.1097923,8.2502234,11,11,,T7259,L562
Mn,2,299.3611,0.0018,50*,2.1e-03,D,4.122308,8.2627156,9,9,,T7259,L562
V,2,299.4055,0.0008,370,2.1e-01,C,2.76157898,6.9013802,3,3,,T9770,L10089c179
Cr,1,299.40678,0.00002,170,2.5e-01,E,0.94143042,5.08121834,5,5,,T3196,L14866
Ac,2,299.4170,0.0009,160000,2.82e+00,C+,0.000000,4.1396531,1,3,,T10463,L7344
Al,2,299.4277,0.0010,50,4.04e-02,C,13.071347,17.210850,1,3,,"T6298c4,LS",L4575
Hg,2,299.4420,0.0004,140,8.0e-03,,13.7838307,17.9231329,6,4,,T7226,L11760
Fe,1,299.44266,0.00003,r,4.39e-01,B+,0.05156912,4.19086081,7,5,,T5720,L11631
Sn,2,299.446,0.003,790,2.7e-01,D+,8.97365992,13.11292,4,6,,T9352,L17864
Ni,1,299.446,0.010,1000,8.7e-02,C+,0.0253904,4.1646453,7,9,,T4812,L3475
Fe,1,299.45019,0.00003,26300,1.49e-02,A,0.12126572,4.26045326,1,3,,T3547,L11631
V,2,299.45380,0.00017,15000,2.1e-01,C,3.8029784,7.9421132,5,7,,T9770,L18516
Ca,1,299.496,0.010,9,3.67e-01,C,1.8793402,6.0178983,1,3,,"T539n,LS",L6097
Cr,1,299.51018,0.00002,230,4.3e-01,D,0.94143042,5.07978882,5,5,,T3196,L14866
V,2,299.51207,0.00004,13000,2.6e-01,D+,4.65196944,8.79030199,7,9,,T9770,L18516
Y,1,299.52574,0.00010,70,5.1e-02,B+,0.06575514,4.20390258,6,4,,T4373,"L7610,L3475"
Cs,3,299.53486,0.00006,27000,7.15e-01,,18.6092718,22.7472895,6,4,,T8611,L14869
Al,2,299.5525,0.0010,400,5.44e-02,C+,13.073080,17.210850,3,5,,"T6298c4,LS",L4575
Fe,2,299.5973,0.0005,100bl(Fe I),1.0e-02,D,8.7179023,12.8550633,10,10,,T6892c83,L18349c142
V,2,299.59987,0.00008,13000,4.8e-01,B,1.67524961,5.81236824,3,5,,T9616,L18516
Cs,3,299.62305,0.00011,3000,8.38e-01,,21.7888059,25.9256051,4,6,,T8611,L14869
Fe,1,299.63855,0.00003,1410,1.70e-01,B,2.42419831,6.56078442,3,5,,T5720,L11631
Ne,3,299.649,0.010,100bl,1.1e-02,C,50.378798,54.515205,5,3,,c52,L10704
Cr,1,299.65808,0.00030,250q,2.0e+00,C,0.98287742,5.11919762,5,3,,T3196,L14866
Ac,2,299.6682,0.0009,5400hl,1.70e+00,C+,3.2790012,7.415187,5,7,,T10463,L7344
V,2,299.6698,0.0008,480,3.2e-02,D,1.7037461,5.83989528,7,5,,T9770,L10089c179
Y,1,299.6939,0.0010,140,8.4e-02,B+,0.0000000,4.13581629,4,6,,T4373,"L7610,L3475"
Fe,2,299.7296,0.0005,1100,9.e-02,D+,4.49479059,8.6301144,6,8,,T6892c83,L18349c143
Ca,1,299.731,0.010,8,2.41e-01,C,1.8858075,6.0211093,3,5,,"T539n,LS",L6097
V,2,299.7316,0.0008,530,1.0e-01,D+,5.4803096,9.615616,3,3,,T9770,L10089c179
Fe,2,299.7706,0.0005,110d?,3.0e-02,D+,8.9478161,13.0825823,4,4,,T6892c83,L18349c143
S,3,299.7895,0.0010,1,9.63e-02,E',21.473213,25.607745,5,3,,"T6066c4,LS",L11011
V,2,299.7942,0.0003,1300,8.5e-02,C,2.5444221,6.6788640,3,5,,T9770,L18516
Pt,1,299.79622,0.00009,100000c,3.25e-01,B+,0.09619638,4.2306068,5,7,,T3313n,L11529
Fe,2,299.7980,0.0005,190,1.6e-02,D,7.12826481,11.2626611,4,2,,T6892c83,L18349c142
Al,2,299.8150,0.0010,500,7.26e-02,C+,13.076729,17.210881,5,7,,"T6298c4,LS",L4575
Cs,3,299.8260,0.0007,600,8.70e-01,,23.0766699,27.210685,4,4,,T8611,L14869
B,5,299.86,0.03,20*,1.3404e+00,AA,(330.7779380646),(334.9114989764),10,12,,T7771,L12548
B,5,299.86,0.03,20*,1.3609e+00,AA,(330.7780081064),(334.9115200826),12,14,,T7771,
V,1,299.8624,0.0003,28000,9.7e-02,C,1.04308018,5.1765797,2,2,,T9399,L15916
W,2,299.86877,0.00010,11,2.44e-02,B,1.08006032,5.21347082,4,6,,T7162,L11762
Cr,1,299.87845,0.00002,220,4.07e-01,B,0.94143042,5.07470726,5,3,,T4624,L14866
Fe,2,299.8850,0.0005,"700d,bl(Fe II)?*",4.2e-03,D,3.42449356,7.5576776,6,8,,T6892c83,L18349c143
Fe,2,299.8850,0.0005,"700d,bl(Fe II)?*",9.e-03,D,8.9322010,13.0653835,4,6,,T6892c83,L18349c143
In,2,299.94092,0.00004,1400,2.1e-02,D,11.6450775,15.7774935,3,5,,T8104,L9805c113
Cs,3,299.94182,0.00010,66000,1.04e+00,,17.9270935,22.0594962,6,4,,T8611,L14869
Fe,1,299.95116,0.00003,112000,1.70e-01,C,0.85899575,4.99127081,11,11,,T5720,L11631
Hg,2,299.9553,0.0004,10,2.8e-04,,15.1211623,19.253370,6,6,,T7226,L11760
Ca,1,299.964,0.010,8,2.79e-01,C,1.8858075,6.0178983,3,3,,"T539n,LS",L6097
Rb,1,299.9776,0.0005,,5.7e-06,D+,0.0000000,4.131914,2,2,,T7227,L3287
Fe,2,300.00623,0.00008,1800,3.0e-02,D+,3.81430861,7.9458259,8,6,,T6892c83,L18349c139
Mo,1,300.0235,0.0010,50,1.40e-01,B,2.4992489,6.6305260,9,9,,T5293,"L10250,L3475"
Fe,2,300.0247,0.0002,270,4.9e-02,D+,9.1256755,13.2569411,12,10,,T6892c83,L18349c139
Fe,2,300.0295,0.0005,250bl(Fe II)?*,8.e-03,D,7.1388229,11.2700245,2,4,,T6892c83,L18349c143
Mo,1,300.0442,0.0010,37,1.25e-01,B,2.2759148,6.4069085,5,5,,T5293,L10250
Ar,2,300.04451,0.00005,17,1.5e+00,D,19.762261075,23.89325004,4,4,,T1240,L11520
Fe,1,300.04509,0.00003,24000,5.41e-02,B+,1.48486439,5.61584517,9,11,,T5720,L11631
Mo,1,300.0853,0.0010,72,2.58e-01,B,2.5145196,6.6449468,5,7,,T5293,L10250
Ca,1,300.086,0.010,9,1.58e+00,C,1.8858075,6.0162208,3,1,,"T539n,LS",L6097
Ti,1,300.0865,0.0004,15+,1.2e-01,C,0.04796626,4.1783771,9,9,,T3499n,L10989
Cr,1,300.0887,0.0004,5.7,1.6e+00,C,1.00367492,5.13405969,7,5,,T3196,L13897c151
Fe,1,300.09476,0.00003,81000,6.42e-01,A,0.08728574,4.21758325,5,3,,T3547,L11631
Fe,2,300.1123,0.0005,150d?,4.9e-02,D+,8.2297382,12.3597808,8,8,,T6892c83,L18349c143
Pt,2,300.11684,0.00008,960p,3.3e-02,C+,2.2438368,6.3738309,8,8,,T8261,L10146
V,2,300.12041,0.00004,78000,2.23e+00,B,1.7037461,5.8336907,7,7,,T9616,L18516
Cs,3,300.12842,0.00007,130000,6.18e-01,,16.7479167,20.8777512,6,4,,T8611,L14869
Fe,2,300.1310,0.0005,150d,1.0e-01,D+,8.2589171,12.3887082,4,2,,T6892c83,L18349c143
Fe,2,300.14003,0.00010,1000,1.3e-01,D+,8.0349812,12.1646572,2,4,,T6892c83,L18349c139
Mo,1,300.1432,0.0010,46,2.3e-01,C+,2.5145196,6.6441488,5,5,,T5293,L10250
Fe,2,300.1601,0.0005,160,3.9e-02,D+,8.2589171,12.3883229,4,4,,T6892c83,L18349c142
Fe,3,300.1617,0.0012,3400,5.e-02,D,10.310749,14.440141,9,9,,T6105,L1171
Ne,2,300.166847,0.000018,300,8.7e-01,D,27.2329339,31.36223939,4,4,,T867LS,L5951
V,2,300.17481,0.00011,9800,5.3e-01,B,2.5569243,6.6861207,7,7,,T9770,L18516
Ac,2,300.1877,0.0009,11000,3.16e-01,C+,2.0775842,6.206609,9,7,,T10463,L7344
V,2,300.19342,0.00018,1200,2.0e-02,D+,2.03601013,6.16495019,9,9,,T9770,L18516
Ir,2,300.1955,0.0020,120,5.e-02,E,2.315590,6.444480,3,3,,T7959,L4457
Fe,2,300.1972,0.0005,150d?,4.1e-02,D+,8.2477153,12.3766049,6,6,,T6892c83,L18349c143
Mo,1,300.2215,0.0010,190,6.5e-03,B+,0.0000000,4.1285534,7,5,,T5293,"L10250,L3475"
Pt,1,300.22641,0.00009,7500,1.72e-02,B+,0.10212092,4.2306068,9,7,,T3313,L11529
Fe,2,300.2317,0.0005,1100,2.0e-02,D+,3.9441623,8.0725728,6,8,,T6892c83,L18349c143
Ni,1,300.249,0.010,4000,8.0e-01,C+,0.0253904,4.1535726,7,7,,T4812,L3475
Fe,2,300.264344,0.000015,40000bl(Fe II)*,9.2e-01,B+,8.7179023,12.8458690,10,10,,T6892c83,L18349c148
Fe,2,300.264344,0.000015,40000bl(Fe II)*,1.79e-01,C+,1.69526130,5.82322475,4,6,,T7589,L18349c148
V,1,300.26539,0.00012,120000,2.4e-01,C+,1.08061491,5.20856527,8,6,,T9399,L15916
Fe,3,300.299,0.003,220bl(Fe I),1.5e-02,D,10.370938,14.498447,3,3,,T6105,L1171
Fe,1,300.30305,0.00003,9800,7.50e-02,C,0.95815732,5.08559017,7,5,,T5720,L11631
Cs,3,300.30568,0.00020,600,1.06e-02,,16.8305884,20.9579882,4,6,,T8611,L14869
V,2,300.34643,0.00010,19000,6.8e-01,B,1.6855312,5.81236824,5,5,,T9616n,L18516
Ir,1,300.363,0.010,600*,7.2e-02,B,0.881107,5.007701,8,10,,"T4422,T7959",L3475
Ni,1,300.363,0.010,2200,6.9e-01,D,0.1090833,4.2357049,5,5,,T3861,L3475
Rb,1,300.3862,0.0005,,2.05e-05,B,0.0000000,4.126295,2,4,,T7227,L3287
Fe,2,300.38861,0.00005,2000,3.1e-01,D+,8.0384001,12.1646572,4,4,,T6892c83,L18349c139
Rb,1,300.3923,0.0005,,8.7e-06,C+,0.0000000,4.126210,2,2,,T7227,L3287
Fe,1,300.41134,0.00007,790,2.79e-02,B,2.43269470,6.5586399,11,11,,T5720,L11631
Na,2,300.4149,0.0003,550,1.7e-01,E,37.181047,41.306940,3,3,,T6036c80,L914
Fe,2,300.4257,0.0005,700d?,8.6e-03,C+,3.81430861,7.9400585,8,8,,T7461,L18349c143
V,1,300.4320,0.0002,36000,1.43e-01,C+,1.05091908,5.1765797,4,2,,T9399,L15916
Hg,2,300.4385,0.0004,300h,6.0e-01,,13.8826922,18.008263,4,2,,T7226,L11760
Hg,2,300.4863,0.0004,100,6.3e-03,,13.0857934,17.2107079,6,6,,T7226,L11760
Co,2,300.48648,0.00010,680,8.e-02,D,9.22154694,13.34645882,11,11,,T6999,L9429c118
S,2,300.4983,0.0010,7,2.69e-03,D,12.140391,16.265139,6,6,,T3186c85,L5883
Cr,1,300.50613,0.00030,260q,9.2e-01,C,1.03000806,5.15465532,9,7,,T3196,L14866
Y,1,300.52618,0.00010,70,4.7e-02,B+,0.0000000,4.12437131,4,4,,T9421,"L7610,L3475"
Fe,1,300.53025,0.00003,1290,2.94e-02,C,2.40407444,6.5283870,13,15,,T5720,L11631
V,2,300.5813,0.0016,10000h,3.1e-01,D+,2.3721639,6.4957755,5,7,,T9770,L10089c179
Fe,3,300.6142,0.0012,240,8.e-03,D,10.992945,15.116134,9,7,,T6105,L1171
V,2,300.64980,0.00019,3700,3.0e-01,C,2.5561913,6.6788640,5,5,,T9770,L18516
Hg,2,300.6507,0.0004,2000,9.5e-02,,13.0857934,17.2084589,6,8,,T7226,L11760
Si,1,300.6739,0.0010,50,1.1e-05,E,0.0095610,4.1319040,3,5,,T6066c4,L3521
N,2,300.683,0.010,220,9.19e-01,B,20.409133,24.531351,3,3,,"T5520,T6385",L3513
Ca,1,300.686,0.010,10,7.5e-01,C,1.8989349,6.0211093,5,5,,"T539n,LS",L6097
Fe,3,300.699,0.003,97hp,8.e-03,D,10.996761,15.118815,11,9,,T6105,L1171
V,2,300.7029,0.0016,880h,3.5e-02,D+,2.5569243,6.6788640,7,5,,T9770,L10089c179
Fe,3,300.706,0.003,2000hp,4.06e+00,B,18.787859,22.90975,7,9,,u44,L1171
Fe,3,300.714,0.003,390hp,1.46e+00,C+,18.787859,22.90964,7,7,,u44,L1171
Fe,1,300.71450,0.00003,11000,7.34e-02,B+,1.48486439,5.60664989,9,7,,T5720,L11631
Fe,3,300.722,0.003,920hp,3.54e+00,B,18.787949,22.90964,5,7,,u44,L1171
Fe,3,300.728,0.003,9200hp*,4.24e+00,B,18.788316,22.90992,9,11,,u44,L1171
Fe,3,300.728,0.003,9200hp*,2.06e+00,C+,18.787949,22.90954,5,5,,u44,L1171
Fe,1,300.72822,0.00003,58000,2.73e-02,A,0.08728574,4.20888328,5,5,,T3547,L11631
V,2,300.7302,0.0003,3100,1.58e-01,C+,1.67524961,5.7968233,3,3,,T9616,L18516
Na,2,300.7442,0.0003,750,1.68e-01,B+,32.846429,36.967803,5,3,,T7663,L914
Fe,3,300.746,0.003,1400h*,7.1e-01,C+,18.788316,22.90975,9,9,,u44,L1171
Fe,3,300.746,0.003,1400h*,2.96e+00,B,18.788175,22.90954,3,5,,u44,L1171
Fe,3,300.746,0.003,1400h*,2.5e+00,C+,18.788175,22.909479,3,3,,u44,L1171
Ne,3,300.754,0.010,100bl,1.4e-02,C,50.378798,54.500112,5,5,,c52,L10704
Fe,3,300.7600,0.0017,920h,2.5e+00,C+,18.788326,22.909479,1,3,,u44,L1171
Mn,1,300.766,0.010,40,1.8e-01,E,3.134449,7.255543,6,8,,T1117,L3475
Mo,1,300.7713,0.0010,38,1.90e-01,C+,2.5231413,6.6441488,7,5,,T5293,L10250
Ir,2,300.7721,0.0019,51,2.9e-02,E,2.534316,6.655308,3,5,,T7959,L4457
Fe,1,300.81380,0.00003,85000,1.07e+00,A,0.11011433,4.23053960,3,1,,T3547,L11631
Ti,2,300.8310,0.0002,4,2.6e-02,D,1.57176070,5.69194831,10,12,,T2403n,u37
V,2,300.85032,0.00010,3200,3.9e-01,C,2.5444221,6.6643477,3,3,,T9770,L18516
Fe,3,300.8511,0.0012,480,8.e-03,D,10.320220,14.440141,7,9,,T6105,L1171
V,2,300.86143,0.00005,18000,2.77e-01,B+,1.67524961,5.79502267,3,5,,T9616n,L18516
Rb,1,300.8847,0.0005,,2.64e-05,C+,0.0000000,4.119458,2,4,,T7227,L3287
Co,2,300.88560,0.00010,860,1.1e-02,D,3.78984644,7.90928888,11,9,,T6999,L9429c118
Rb,1,300.8923,0.0005,,1.05e-05,C+,0.0000000,4.119354,2,2,,T7227,L3287
Fe,1,300.90929,0.00003,2140,7.77e-02,B+,2.40407444,6.52319179,13,11,,T5720,L11631
Sn,1,300.91333,0.00009,12000r,3.8e-01,D,0.2097572,4.32881927,3,3,,T4515,"L3149,L7378"
Na,2,300.9137,0.0003,750,3.0e-01,D,37.181047,41.300096,3,3,,T7663c80,L914
Ca,1,300.921,0.010,9,4.30e-01,C,1.8989349,6.0178983,5,3,,"T539n,LS",L6097
Fe,1,300.95691,0.00003,52000,1.43e-01,C+,0.91460217,5.03306811,9,9,,T5720,L11631
Fe,2,301.0204,0.0005,600,5.0e-02,D+,5.82322475,9.9408057,6,4,,T6892c83,L18349c143
Co,3,301.0990,0.0010,140,2.1e-02,D+,9.0864600,13.2030059,10,8,,u37,L6156
Mn,1,301.116,0.010,40,1.1e-01,E,3.134994,7.251280,10,10,,T1117,L3475
