Time	Date	Image Name	Interval [ms]	
12:39:19	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00000	0	
12:39:22	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00001	12344	
12:39:25	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00002	3000	
12:39:28	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00003	2687	
12:39:31	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00004	2984	
12:39:34	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00005	3047	
12:39:37	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00006	3172	
12:39:40	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00007	2813	
12:39:43	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00008	3015	
12:39:46	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00009	2938	
