Time	Date	Image Name	Interval [ms]	
15:57:52	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00000	0	
15:57:55	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00001	12032	
15:57:58	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00002	3015	
15:58:01	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00003	2844	
15:58:04	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00004	2984	
15:58:07	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00005	3016	
15:58:10	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00006	3078	
15:58:13	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00007	2938	
