Time	Date	Image Name	Interval [ms]	
16:05:29	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00000	0	
16:05:32	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00001	14797	
16:05:35	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00002	2938	
16:05:38	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00003	2906	
16:05:41	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00004	3031	
16:05:44	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00005	2938	
16:05:47	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00006	3015	
16:05:50	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00007	2953	
16:05:53	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00008	3047	
16:05:56	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00009	3016	
16:05:59	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00010	2937	
16:06:02	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00011	3016	
16:06:05	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00012	3016	
16:06:08	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00013	2953	
16:06:11	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00014	3062	
16:06:14	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00015	2985	
16:06:17	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00016	3015	
16:06:20	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00017	2985	
16:06:23	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00018	2984	
16:06:26	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00019	3000	
16:06:29	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00020	3047	
16:06:32	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00021	3000	
16:06:35	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00022	2984	
16:06:38	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00023	2953	
16:06:41	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00024	3032	
16:06:44	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00025	3000	
16:06:47	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00026	2984	
16:06:50	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00027	3016	
16:06:53	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00028	3031	
16:06:56	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00029	2969	
16:06:59	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00030	3015	
16:07:02	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00031	2953	
16:07:05	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00032	3063	
16:07:08	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00033	3078	
16:07:11	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00034	2875	
16:07:14	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00035	3000	
16:07:17	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00036	3000	
