Time	Date	Image Name	Interval [ms]	
15:13:22	08/16/23	10umVertical - 800Hz - 950V - 250usmm -00000	0	
15:13:26	08/16/23	10umVertical - 800Hz - 950V - 250usmm -00001	15312	
15:13:28	08/16/23	10umVertical - 800Hz - 950V - 250usmm -00002	3047	
15:13:31	08/16/23	10umVertical - 800Hz - 950V - 250usmm -00003	2906	
15:13:34	08/16/23	10umVertical - 800Hz - 950V - 250usmm -00004	3047	
15:13:37	08/16/23	10umVertical - 800Hz - 950V - 250usmm -00005	3016	
15:13:40	08/16/23	10umVertical - 800Hz - 950V - 250usmm -00006	2984	
15:13:43	08/16/23	10umVertical - 800Hz - 950V - 250usmm -00007	2938	
15:13:46	08/16/23	10umVertical - 800Hz - 950V - 250usmm -00008	3015	
15:13:49	08/16/23	10umVertical - 800Hz - 950V - 250usmm -00009	3000	
