Time	Date	Image Name	Interval [ms]	
15:50:37	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00000	0	
15:50:40	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00001	13078	
15:50:43	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00002	3000	
15:50:46	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00003	3047	
15:50:49	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00004	2890	
15:50:52	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00005	3016	
15:50:55	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00006	3000	
15:50:58	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00007	2969	
15:51:01	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00008	3031	
15:51:04	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00009	3031	
15:51:07	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00010	2922	
15:51:10	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00011	3047	
15:51:13	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00012	2937	
15:51:16	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00013	3094	
15:51:19	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00014	2953	
15:51:22	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00015	3016	
15:51:25	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00002 -00016	2937	
