Time	Date	Image Name	Interval [ms]	
15:15:25	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00000	0	
15:15:28	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00001	15500	
15:15:31	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00002	2984	
15:15:34	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00003	2922	
15:15:37	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00004	3094	
15:15:40	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00005	2937	
15:15:43	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00006	3000	
15:15:46	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00007	2953	
15:15:49	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00008	2985	
15:15:52	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00009	3078	
15:15:55	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00010	2984	
15:15:58	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00011	2922	
15:16:01	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00012	3063	
15:16:04	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00013	3000	
15:16:07	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00014	3047	
15:16:10	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00015	2953	
15:16:13	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00016	3000	
15:16:16	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00017	3047	
15:16:19	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00018	2953	
15:16:22	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00019	2968	
15:16:25	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00020	2969	
15:16:28	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00021	3141	
15:16:31	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00022	3094	
15:16:34	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00023	2843	
15:16:37	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00024	2985	
15:16:40	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00025	3000	
15:16:43	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00026	3015	
15:16:46	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00027	3047	
15:16:49	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00028	2969	
15:16:52	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00029	2984	
15:16:55	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00030	2938	
15:16:58	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00031	3031	
15:17:01	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00032	3031	
