Time	Date	Image Name	Interval [ms]	
12:45:59	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00000	0	
12:46:02	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00001	14531	
12:46:05	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00002	2969	
12:46:08	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00003	2984	
12:46:11	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00004	3016	
12:46:14	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00005	3094	
12:46:17	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00006	2922	
12:46:20	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00007	3000	
12:46:23	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00008	2953	
12:46:26	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.0001 -00009	3031	
