Time	Date	Image Name	Interval [ms]	
15:39:42	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00000	0	
15:39:45	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00001	16125	
15:39:48	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00002	3031	
15:39:51	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00003	2938	
15:39:54	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00004	2984	
15:39:57	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00005	3078	
15:40:00	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00006	2875	
15:40:03	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00007	2985	
15:40:06	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00008	3015	
15:40:09	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00009	3000	
15:40:12	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00010	3000	
15:40:15	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00011	2985	
15:40:18	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00012	3015	
15:40:21	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00013	3000	
15:40:24	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00014	2969	
15:40:27	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00015	3000	
15:40:30	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00016	2985	
15:40:33	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00017	3000	
15:40:36	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00018	3031	
15:40:39	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00019	2969	
15:40:42	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00020	3015	
15:40:45	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00021	3016	
15:40:48	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00022	3015	
15:40:51	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.000025 -00023	3016	
