Time	Date	Image Name	Interval [ms]	
12:56:50	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00000	0	
12:56:53	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00001	26938	
12:56:55	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00002	2984	
12:56:58	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00003	2797	
12:57:01	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00004	2922	
12:57:05	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00005	3047	
12:57:07	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00006	3062	
12:57:10	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00007	2907	
12:57:13	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00008	3031	
12:57:17	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00009	3031	
12:57:19	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00010	3031	
12:57:22	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00011	2891	
12:57:25	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00012	3063	
12:57:28	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00013	2921	
12:57:31	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00014	3032	
12:57:34	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00015	3031	
12:57:38	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00016	2969	
12:57:40	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00017	3093	
12:57:43	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00018	2907	
12:57:46	08/18/23	10umVertical - 1000Hz - 950V - 10usmm -ddg - 3.00005 -00019	3015	
